,nb,msg,model,pre,overlap,multi
0,GitHub-data/notebooks/2021-09-05/nb_1244.py,Success!,True,False,False,False
1,GitHub-data/notebooks/2021-09-07/nb_949.py,Success!,True,True,False,False
2,GitHub-data/notebooks/2021-09-09/nb_498.py,Success!,True,False,False,False
3,GitHub-data/notebooks/2021-09-04/nb_1743.py,Success!,True,True,False,False
4,GitHub-data/notebooks/2021-09-15/nb_3436.py,Success!,True,False,False,False
7,GitHub-data/notebooks/2021-09-14/nb_100.py,Success!,True,False,False,False
8,GitHub-data/notebooks/2021-09-23/nb_2646.py,Success!,True,True,False,False
9,GitHub-data/notebooks/2021-09-21/nb_1239.py,Success!,True,False,False,False
10,GitHub-data/notebooks/2021-09-07/nb_4061.py,Success!,True,False,False,False
11,GitHub-data/notebooks/2021-09-26/nb_1094.py,Success!,False,False,False,False
12,GitHub-data/notebooks/2021-09-17/nb_1782.py,Success!,True,False,True,True
13,GitHub-data/notebooks/2021-09-02/nb_3065.py,Success!,True,True,False,False
14,GitHub-data/notebooks/2021-09-30/nb_195.py,Success!,True,True,True,True
15,GitHub-data/notebooks/2021-09-12/nb_1942.py,Success!,True,True,True,False
16,GitHub-data/notebooks/2021-09-01/nb_604.py,Success!,True,False,False,True
17,GitHub-data/notebooks/2021-09-25/nb_1162.py,Success!,False,False,False,False
18,GitHub-data/notebooks/2021-09-09/nb_2544.py,Success!,False,False,False,False
19,GitHub-data/notebooks/2021-09-10/nb_2760.py,Success!,True,True,False,True
20,GitHub-data/notebooks/2021-09-17/nb_1585.py,Success!,False,False,False,False
21,GitHub-data/notebooks/2021-09-24/nb_2945.py,Success!,False,False,False,False
22,GitHub-data/notebooks/2021-09-30/nb_300.py,Success!,False,False,False,False
25,GitHub-data/notebooks/2021-09-24/nb_2053.py,Success!,True,False,False,False
26,GitHub-data/notebooks/2021-09-10/nb_322.py,Success!,True,False,False,True
27,GitHub-data/notebooks/2021-09-27/nb_1550.py,Success!,False,False,False,False
28,GitHub-data/notebooks/2021-09-21/nb_2660.py,Success!,False,False,False,False
29,GitHub-data/notebooks/2021-09-27/nb_1060.py,Success!,True,False,False,False
30,GitHub-data/notebooks/2021-09-06/nb_1824.py,Success!,True,False,False,False
31,GitHub-data/notebooks/2021-09-13/nb_959.py,Success!,False,False,False,False
32,GitHub-data/notebooks/2021-09-21/nb_2685.py,Success!,False,False,False,False
35,GitHub-data/notebooks/2021-09-23/nb_524.py,Success!,False,False,False,False
36,GitHub-data/notebooks/2021-09-22/nb_463.py,Success!,True,False,False,False
37,GitHub-data/notebooks/2021-09-01/nb_1334.py,Success!,False,False,False,False
38,GitHub-data/notebooks/2021-09-27/nb_3449.py,Success!,True,False,True,True
39,GitHub-data/notebooks/2021-09-13/nb_1764.py,Success!,False,False,False,False
40,GitHub-data/notebooks/2021-09-08/nb_1761.py,Success!,False,False,False,False
41,GitHub-data/notebooks/2021-09-16/nb_318.py,Success!,True,True,False,False
42,GitHub-data/notebooks/2021-09-18/nb_1959.py,Success!,False,False,False,False
43,GitHub-data/notebooks/2021-09-17/nb_4156.py,Success!,False,False,False,False
44,GitHub-data/notebooks/2021-09-10/nb_1411.py,Success!,False,False,False,False
45,GitHub-data/notebooks/2021-09-24/nb_2439.py,Success!,False,False,False,False
46,GitHub-data/notebooks/2021-09-05/nb_2816.py,Success!,True,True,False,True
49,GitHub-data/notebooks/2021-09-08/nb_678.py,Success!,False,False,False,False
50,GitHub-data/notebooks/2021-09-30/nb_3594.py,Success!,True,True,False,True
51,GitHub-data/notebooks/2021-09-12/nb_125.py,Success!,True,False,False,False
55,GitHub-data/notebooks/2021-09-24/nb_934.py,Success!,False,False,False,False
56,GitHub-data/notebooks/2021-09-09/nb_1070.py,Success!,False,False,False,False
57,GitHub-data/notebooks/2021-09-11/nb_86.py,Success!,True,False,False,False
58,GitHub-data/notebooks/2021-09-12/nb_3074.py,Success!,True,False,False,False
59,GitHub-data/notebooks/2021-09-29/nb_1147.py,Success!,False,False,False,False
60,GitHub-data/notebooks/2021-09-20/nb_1322.py,Success!,True,False,False,False
61,GitHub-data/notebooks/2021-09-15/nb_281.py,Success!,True,False,False,True
62,GitHub-data/notebooks/2021-09-29/nb_416.py,Success!,False,False,False,False
64,GitHub-data/notebooks/2021-09-09/nb_1559.py,Success!,True,True,False,False
65,GitHub-data/notebooks/2021-09-25/nb_2239.py,Success!,False,False,False,False
68,GitHub-data/notebooks/2021-09-05/nb_1162.py,Success!,True,False,True,True
69,GitHub-data/notebooks/2021-09-02/nb_1449.py,Success!,False,False,False,False
70,GitHub-data/notebooks/2021-09-25/nb_2421.py,Success!,False,False,False,False
71,GitHub-data/notebooks/2021-09-09/nb_1731.py,Success!,True,False,False,False
